date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:10	97593/97593	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b39-17d39%22	https://html.awaikenthemes.com/roast/index.html	C:/website/learn/html.awaikenthemes.com/roast/index.html	(from )
11:00:10	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2267c54045-1a%22	https://html.awaikenthemes.com/robots.txt		(from )
11:00:11	3260/3260	---M--	200	added ('OK')	image/png	etag:%2267c69b39-cbc%22	https://html.awaikenthemes.com/roast/images/favicon.png	C:/website/learn/html.awaikenthemes.com/roast/images/favicon.png	(from https://html.awaikenthemes.com/roast/index.html)
11:00:11	232757/232757	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-38d35%22	https://html.awaikenthemes.com/roast/css/bootstrap.min.css	C:/website/learn/html.awaikenthemes.com/roast/css/bootstrap.min.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:11	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-9c9%22	https://html.awaikenthemes.com/roast/css/slicknav.min.css	C:/website/learn/html.awaikenthemes.com/roast/css/slicknav.min.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:11	18441/18441	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-4809%22	https://html.awaikenthemes.com/roast/css/swiper-bundle.min.css	C:/website/learn/html.awaikenthemes.com/roast/css/swiper-bundle.min.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:11	73890/73890	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-120a2%22	https://html.awaikenthemes.com/roast/css/all.min.css	C:/website/learn/html.awaikenthemes.com/roast/css/all.min.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:12	76809/76809	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-12c09%22	https://html.awaikenthemes.com/roast/css/animate.css	C:/website/learn/html.awaikenthemes.com/roast/css/animate.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:12	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-1b27%22	https://html.awaikenthemes.com/roast/css/magnific-popup.css	C:/website/learn/html.awaikenthemes.com/roast/css/magnific-popup.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:13	6892/6892	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-1aec%22	https://html.awaikenthemes.com/roast/css/mousecursor.css	C:/website/learn/html.awaikenthemes.com/roast/css/mousecursor.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:13	112419/112419	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b39-1b723%22	https://html.awaikenthemes.com/roast/css/custom.css	C:/website/learn/html.awaikenthemes.com/roast/css/custom.css	(from https://html.awaikenthemes.com/roast/index.html)
11:00:13	2709/2709	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b39-a95%22	https://html.awaikenthemes.com/roast/images/loader.svg	C:/website/learn/html.awaikenthemes.com/roast/images/loader.svg	(from https://html.awaikenthemes.com/roast/index.html)
